Operational date,Time of Accident,KM && M,Position,Rural/Urban,Location,Nature of Accident Position,Nature of Accident,Vehicle Involved,Type of Accident,Causes,Road Feature,Road condition,Intersection Type And Control,Weather Condition,Vehicle Responsible,Help Provided by Ambulance/Patroling Vehicle,Classification of Accident,No of Affected Persons
01.01.2012,6:20 AM,1215.6,LHS,Rural,Medarametla, , Lorry over Turned on the Road,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,WB41C                  2334,Yes,Fatal,0
01.01.2012,6:20 AM,1215.6,LHS,Rural,Medarametla, , Lorry over Turned on the Road,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,WB41C                  2334,Yes,Grevious,1
01.01.2012,6:20 AM,1215.6,LHS,Rural,Medarametla, , Lorry over Turned on the Road,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,WB41C                  2334,Yes,Minor,0
01.01.2012,6:20 AM,1215.6,LHS,Rural,Medarametla, , Lorry over Turned on the Road,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,WB41C                  2334,Yes,Non injured ,0
01.01.2012,6:20 AM,1215.6,LHS,Rural,Medarametla, , Lorry over Turned on the Road,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,WB41C                  2334,Yes,Animals affected,0
01.01.2012,3:00 PM,1269.5,RHS,Rural,Jarugumalli, ,  Auto  over  Turned on the Road,Auto,Minor injury,Druken,Four lanes or more with central divider,Sharp curve,,Fine,AP27TT                7020,Yes,Fatal,0
01.01.2012,3:00 PM,1269.5,RHS,Rural,Jarugumalli, ,  Auto  over  Turned on the Road,Auto,Minor injury,Druken,Four lanes or more with central divider,Sharp curve,,Fine,AP27TT                7020,Yes,Grevious,0
01.01.2012,3:00 PM,1269.5,RHS,Rural,Jarugumalli, ,  Auto  over  Turned on the Road,Auto,Minor injury,Druken,Four lanes or more with central divider,Sharp curve,,Fine,AP27TT                7020,Yes,Minor,1
01.01.2012,3:00 PM,1269.5,RHS,Rural,Jarugumalli, ,  Auto  over  Turned on the Road,Auto,Minor injury,Druken,Four lanes or more with central divider,Sharp curve,,Fine,AP27TT                7020,Yes,Non injured ,0
01.01.2012,3:00 PM,1269.5,RHS,Rural,Jarugumalli, ,  Auto  over  Turned on the Road,Auto,Minor injury,Druken,Four lanes or more with central divider,Sharp curve,,Fine,AP27TT                7020,Yes,Animals affected,0
02.01.2012,4:00 AM,1354.8,LHS,Rural,Kodavaluru, , Lorry hit Median,Lorry,Non injury,Over speed,Four lanes or more with central divider,Slight curve,,Fine,AP24Y              4176,Yes,Fatal,0
02.01.2012,4:00 AM,1354.8,LHS,Rural,Kodavaluru, , Lorry hit Median,Lorry,Non injury,Over speed,Four lanes or more with central divider,Slight curve,,Fine,AP24Y              4176,Yes,Grevious,0
02.01.2012,4:00 AM,1354.8,LHS,Rural,Kodavaluru, , Lorry hit Median,Lorry,Non injury,Over speed,Four lanes or more with central divider,Slight curve,,Fine,AP24Y              4176,Yes,Minor,0
02.01.2012,4:00 AM,1354.8,LHS,Rural,Kodavaluru, , Lorry hit Median,Lorry,Non injury,Over speed,Four lanes or more with central divider,Slight curve,,Fine,AP24Y              4176,Yes,Non injured ,2
02.01.2012,4:00 AM,1354.8,LHS,Rural,Kodavaluru, , Lorry hit Median,Lorry,Non injury,Over speed,Four lanes or more with central divider,Slight curve,,Fine,AP24Y              4176,Yes,Animals affected,0
02.01.2012,6:50 PM,1324.4,RHS,Rural,Kavali, , Bus hit Lorry,Bus,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP29Z               2194,Yes,Fatal,0
02.01.2012,6:50 PM,1324.4,RHS,Rural,Kavali, , Bus hit Lorry,Bus,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP29Z               2194,Yes,Grevious,0
02.01.2012,6:50 PM,1324.4,RHS,Rural,Kavali, , Bus hit Lorry,Bus,Non injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP29Z               2194,Yes,Minor,0
